 time            v(vpre)        
 0.00000000e+00  8.48628614e-01 
 1.00000000e-10  8.48628614e-01 
 2.00000000e-10  8.48628614e-01 
 4.00000000e-10  8.48628614e-01 
 8.00000000e-10  8.48628615e-01 
 1.60000000e-09  8.48628603e-01 
 3.20000000e-09  8.48628646e-01 
 6.40000000e-09  8.48628564e-01 
 1.28000000e-08  8.48628678e-01 
 2.28000000e-08  8.48628541e-01 
 3.28000000e-08  8.48628700e-01 
 4.28000000e-08  8.48628515e-01 
 5.28000000e-08  8.48628730e-01 
 6.28000000e-08  8.48628480e-01 
 7.28000000e-08  8.48628770e-01 
 8.28000000e-08  8.48628433e-01 
 9.28000000e-08  8.48628825e-01 
 1.02800000e-07  8.48628370e-01 
 1.12800000e-07  8.48628898e-01 
 1.22800000e-07  8.48628284e-01 
 1.32800000e-07  8.48628997e-01 
 1.42800000e-07  8.48628169e-01 
 1.52800000e-07  8.48629130e-01 
 1.62800000e-07  8.48628013e-01 
 1.72800000e-07  8.48629311e-01 
 1.82800000e-07  8.48627803e-01 
 1.92800000e-07  8.48629554e-01 
 2.02800000e-07  8.48627519e-01 
 2.12800000e-07  8.48629883e-01 
 2.22800000e-07  8.48627137e-01 
 2.32800000e-07  8.48630327e-01 
 2.42800000e-07  8.48626621e-01 
 2.52800000e-07  8.48630925e-01 
 2.62800000e-07  8.48625926e-01 
 2.72800000e-07  8.48631734e-01 
 2.82800000e-07  8.48624987e-01 
 2.92800000e-07  8.48632824e-01 
 3.02800000e-07  8.48623720e-01 
 3.12800000e-07  8.48634296e-01 
 3.22800000e-07  8.48622011e-01 
 3.32800000e-07  8.48636283e-01 
 3.42800000e-07  8.48619705e-01 
 3.52800000e-07  8.48638966e-01 
 3.62800000e-07  8.48616595e-01 
 3.72800000e-07  8.48642586e-01 
 3.82800000e-07  8.48612400e-01 
 3.92800000e-07  8.48647474e-01 
 4.02800000e-07  8.48606742e-01 
 4.12800000e-07  8.48654074e-01 
 4.22800000e-07  8.48599112e-01 
 4.32800000e-07  8.48662988e-01 
 4.42800000e-07  8.48588826e-01 
 4.52800000e-07  8.48675029e-01 
 4.62800000e-07  8.48574963e-01 
 4.72800000e-07  8.48691301e-01 
 4.82800000e-07  8.48556289e-01 
 4.92800000e-07  8.48713303e-01 
 5.02800000e-07  8.48531147e-01 
 5.12800000e-07  8.48743070e-01 
 5.22800000e-07  8.48497327e-01 
 5.32800000e-07  8.48783380e-01 
 5.42800000e-07  8.48451882e-01 
 5.52800000e-07  8.48838034e-01 
 5.62800000e-07  8.48390911e-01 
 5.72800000e-07  8.48912251e-01 
 5.82800000e-07  8.48309281e-01 
 5.92800000e-07  8.49013248e-01 
 6.02800000e-07  8.48200307e-01 
 6.12800000e-07  8.49151068e-01 
 6.22800000e-07  8.48055411e-01 
 6.32800000e-07  8.49339806e-01 
 6.42800000e-07  8.47863834e-01 
 6.52800000e-07  8.49547645e-01 
 6.62800000e-07  8.47552852e-01 
 6.72800000e-07  8.49867645e-01 
 6.82800000e-07  8.47174740e-01 
 6.92800000e-07  8.50297723e-01 
 7.02800000e-07  8.46662029e-01 
 7.12800000e-07  8.50875504e-01 
 7.22800000e-07  8.45966044e-01 
 7.32800000e-07  8.51651472e-01 
 7.42800000e-07  8.45019838e-01 
 7.52800000e-07  8.52694321e-01 
 7.62800000e-07  8.43731003e-01 
 7.72800000e-07  8.54101574e-01 
 7.82800000e-07  8.41971494e-01 
 7.92800000e-07  8.55918047e-01 
 8.02800000e-07  8.39488548e-01 
 8.12800000e-07  8.58376691e-01 
 8.22800000e-07  8.36052664e-01 
 8.32800000e-07  8.61657957e-01 
 8.42800000e-07  8.31150758e-01 
 8.52800000e-07  8.65970389e-01 
 8.62800000e-07  8.23990839e-01 
 8.72800000e-07  8.72113222e-01 
 8.82800000e-07  8.12527558e-01 
 8.92800000e-07  5.47530522e-01 
 8.98214062e-07  5.18352292e-01 
 9.04923613e-07  4.84952499e-01 
 9.10982218e-07  4.77485991e-01 
 9.17920840e-07  4.71660821e-01 
 9.27920840e-07  4.68987476e-01 
 9.37920840e-07  4.67879696e-01 
 9.47920840e-07  4.67807179e-01 
 9.57920840e-07  4.67654240e-01 
 9.67920840e-07  4.67780507e-01 
 9.77920840e-07  4.67727938e-01 
 9.87920840e-07  4.67860860e-01 
 9.97920840e-07  4.67823906e-01 
 1.00792084e-06  4.67954074e-01 
 1.01792084e-06  4.67919901e-01 
 1.02792084e-06  4.68047932e-01 
 1.03792084e-06  4.68013513e-01 
 1.04792084e-06  4.68139652e-01 
 1.05792084e-06  4.68104010e-01 
 1.06792084e-06  4.68228216e-01 
 1.07792084e-06  4.68190983e-01 
 1.08792084e-06  4.68313191e-01 
 1.09792084e-06  4.68274233e-01 
 1.10792084e-06  4.68394418e-01 
 1.11792084e-06  4.68353710e-01 
 1.12792084e-06  4.68471892e-01 
 1.13792084e-06  4.68429470e-01 
 1.14792084e-06  4.68545709e-01 
 1.15792084e-06  4.68501640e-01 
 1.16792084e-06  4.68616011e-01 
 1.17792084e-06  4.68570380e-01 
 1.18792084e-06  4.68682978e-01 
 1.19792084e-06  4.68635886e-01 
 1.20792084e-06  4.68746811e-01 
 1.21792084e-06  4.68698359e-01 
 1.22792084e-06  4.68807714e-01 
 1.23792084e-06  4.68758006e-01 
 1.24792084e-06  4.68865891e-01 
 1.25792084e-06  4.68815028e-01 
 1.26792084e-06  4.68921544e-01 
 1.27792084e-06  4.68869624e-01 
 1.28792084e-06  4.68974867e-01 
 1.29792084e-06  4.68921985e-01 
 1.30792084e-06  4.69026044e-01 
 1.31792084e-06  4.68972288e-01 
 1.32792084e-06  4.69075252e-01 
 1.33792084e-06  4.69020705e-01 
 1.34792084e-06  4.69122650e-01 
 1.35792084e-06  4.69067390e-01 
 1.36792084e-06  4.69168394e-01 
 1.37792084e-06  4.69112492e-01 
 1.38792084e-06  4.69212623e-01 
 1.39792084e-06  4.69156145e-01 
 1.40792084e-06  4.69255467e-01 
 1.41792084e-06  4.69198477e-01 
 1.42792084e-06  4.69297049e-01 
 1.43792084e-06  4.69239601e-01 
 1.44792084e-06  4.69337474e-01 
 1.45792084e-06  4.69279620e-01 
 1.46792084e-06  4.69376849e-01 
 1.47792084e-06  4.69318638e-01 
 1.48792084e-06  4.69415264e-01 
 1.49792084e-06  4.69356738e-01 
 1.50792084e-06  4.69452804e-01 
 1.51792084e-06  4.69394004e-01 
 1.52792084e-06  4.69489547e-01 
 1.53792084e-06  4.69430507e-01 
 1.54792084e-06  4.69525566e-01 
 1.55792084e-06  4.69466322e-01 
 1.56792084e-06  4.69560924e-01 
 1.57792084e-06  4.69501504e-01 
 1.58792084e-06  4.69595679e-01 
 1.59792084e-06  4.69536111e-01 
 1.60792084e-06  4.69629886e-01 
 1.61792084e-06  4.69570193e-01 
 1.62792084e-06  4.69663591e-01 
 1.63792084e-06  4.69603799e-01 
 1.64792084e-06  4.69696844e-01 
 1.65792084e-06  4.69636973e-01 
 1.66792084e-06  4.69729683e-01 
 1.67792084e-06  4.69669751e-01 
 1.68792084e-06  4.69762145e-01 
 1.69792084e-06  4.69702167e-01 
 1.70792084e-06  4.69794260e-01 
 1.71792084e-06  4.69734255e-01 
 1.72792084e-06  4.69826065e-01 
 1.73792084e-06  4.69766044e-01 
 1.74792084e-06  4.69857583e-01 
 1.75792084e-06  4.69797561e-01 
 1.76792084e-06  4.69888841e-01 
 1.77792084e-06  4.69828829e-01 
 1.78792084e-06  4.69919863e-01 
 1.79792084e-06  4.69859872e-01 
