V_bias,Frecuencia de pulsos
0,49.3074134023945
0.001,51.8604795340954
0.002,51.9364548749281
0.003,52.0982494420317
0.004,52.5470415158847
0.005,52.6909233199684
0.006,53.2855690018492
0.007,54.4666714464076
0.008,54.5641828579559
0.009,54.819544603704
0.01,55.061695705001
0.011,55.8428029920592
0.012,56.1917250510303
0.013,58.0451077773319
0.014,58.0460396214871
0.015,58.8742202885927
0.016,60.9848330799411
0.017,62.9224790640773
0.018,62.9363588200444
0.019,63.1034128576572
0.02,63.9443743283723
0.021,64.5513028706082
0.022,64.9005747888903
0.023,65.5066072332119
0.024,66.2889957637348
0.025,70.7659341327457
0.026,71.1283560134798
0.027,71.1846081908045
0.028,73.0910482720245
0.029,73.9176439538445
0.03,75.2286058157821
0.031,75.6471704315847
0.032,75.7292666087097
0.033,76.2053546690748
0.034,79.1870060768401
0.035,79.2367688127742
0.036,83.1249508575681
0.037,84.4417445228699
0.038,86.4470823923399
0.039,87.1529206183885
0.04,87.1740771562589
0.041,88.1129227868185
0.042,88.3451156710992
0.043,89.6240222435925
0.044,91.585428483572
0.045,94.7213649333532
0.046,95.2238668879049
0.047,97.7392006105088
0.048,100.796585334238
0.049,101.468413334463
0.05,102.852891012665
0.051,104.407409494952
0.052,105.078594974688
0.053,107.029467334752
0.054,110.585197768527
0.055,112.607460610964
0.056,114.902312133956
0.057,115.860099573947
0.058,117.009528169424
0.059,117.083919195409
0.06,125.652454658705
0.061,127.781669418213
0.062,129.782878155829
0.063,129.796978332808
0.064,130.28645760584
0.065,131.601261314654
0.066,131.682581681491
0.067,135.927016285229
0.068,143.26032889404
0.069,145.090492915766
0.07,146.921103156725
0.071,153.116755970681
0.072,153.674651776301
0.073,154.347975707522
0.074,159.708922465031
0.075,160.273146574263
0.076,162.254251349856
0.077,168.950451900326
0.078,173.174139239785
0.079,173.750482375863
0.08,176.050579333133
0.081,177.822862274988
0.082,189.371683522699
0.083,190.33118762162
0.084,191.484593926026
0.085,191.899998767503
0.086,196.958678829639
0.087,201.874920388733
0.088,206.032037882995
0.089,212.921796540587
0.09,217.969751051625
0.091,233.090968413408
0.092,233.753811099053
0.093,237.554550420496
0.094,239.526971540391
0.095,242.54646502772
0.096,245.637979736766
0.097,250.386704786706
0.098,255.68388184671
0.099,271.486251610703
0.1,271.982350859154
0.101,274.094854353646
0.102,279.096730284384
0.103,290.81743933398
0.104,306.539197119469
0.105,307.200494705012
0.106,309.477300007781
0.107,313.024395199597
0.108,325.732802363979
0.109,332.326400402556
0.11,345.911036268848
0.111,347.47154753556
0.112,356.0992016028
0.113,363.935649624849
0.114,373.698027989265
0.115,386.724792697248
0.116,394.79665073298
0.117,395.491626113028
0.118,402.328040630175
0.119,422.788362051888
0.12,429.11926723951
0.121,445.169827904423
0.122,448.286333635807
0.123,466.502616356599
0.124,466.588248672795
0.125,472.132182628101
0.126,488.204298227778
0.127,498.949506719059
0.128,499.345168732627
0.129,503.951130822721
0.13,517.930813983537
0.131,527.381609386683
0.132,569.915036667393
0.133,577.680553550097
0.134,590.63746986496
0.135,602.340006598033
0.136,618.480546309804
0.137,627.231437385584
0.138,633.546923372852
0.139,639.367572378999
0.14,639.706936843974
0.141,651.534195978161
0.142,689.515376737618
0.143,709.674378926658
0.144,714.404668786536
0.145,738.76953943851
0.146,752.243315567779
0.147,761.436393531935
0.148,768.432285332063
0.149,773.501670605041
0.15,787.238596577725
0.151,854.66722683266
0.152,857.721170986194
0.153,900.089965252153
0.154,910.032092409143
0.155,915.374346503956
0.156,927.396360083356
0.157,977.640807259132
0.158,984.977789524054
0.159,1001.58563325247
0.16,1024.79227376066
0.161,1050.14976443077
0.162,1067.1090758614
0.163,1115.40528015504
0.164,1125.61727993348
0.165,1157.51937865119
0.166,1191.32356190687
0.167,1239.58580425395
0.168,1244.38610142973
0.169,1273.40347659906
0.17,1359.62468224144
0.171,1386.81010868909
0.172,1390.62899067063
0.173,1420.71627610329
0.174,1422.28061638661
0.175,1425.24090729474
0.176,1486.56406825634
0.177,1520.48058997737
0.178,1593.12530743834
0.179,1629.58056356241
0.18,1629.99375236435
0.181,1705.61718976675
0.182,1717.19773722725
0.183,1785.40413232251
0.184,1809.93088952652
0.185,1826.50023158196
0.186,1839.2460071321
0.187,1868.82845915368
0.188,1911.71648536422
0.189,2048.00572524096
0.19,2095.23781108394
0.191,2143.79962148474
0.192,2193.68759200106
0.193,2244.52205762304
0.194,2296.05836716296
0.195,2350.462936838
0.196,2370.18792980706
0.197,2459.79043303769
0.198,2518.59453791042
0.199,2576.9168912323
0.2,2591.95936827906
0.201,2609.68602280019
0.202,2728.08052431634
0.203,2792.796624233
0.204,2855.61581821585
0.205,2915.46330359231
0.206,2922.74471658309
0.207,2995.69607386445
0.208,3066.53693804812
0.209,3132.24461457389
0.21,3205.31217360947
0.211,3286.2513806873
0.212,3363.17396087906
0.213,3442.83981981512
0.214,3598.49746926057
0.215,3685.40552875692
0.216,3768.79756282354
0.217,3862.02454339229
0.218,3887.50203549607
0.219,3950.61581373626
0.22,4239.60351241519
0.221,4440.51776366076
0.222,4494.35208705711
0.223,4604.52651847201
0.224,4758.05288925123
0.225,4833.1638012522
0.226,4862.53420333303
0.227,4985.53939064926
0.228,5073.68579842975
0.229,5094.568648879
0.23,5198.268970195
0.231,5344.32667601266
0.232,5591.88920672261
0.233,5729.06688691033
0.234,5869.49426030961
0.235,6141.44215274272
0.236,6158.33199656473
0.237,6285.30179428729
0.238,6577.73989443961
0.239,6625.75211728228
0.24,6737.83596188409
0.241,6789.88229861253
0.242,7306.73638423286
0.243,7392.02415614145
0.244,7865.06462326415
0.245,7912.15442565757
0.246,8060.5472195884
0.247,8261.13309536313
0.248,8488.08529631418
0.249,8679.41457418132
0.25,8896.53255241706
0.251,8899.3114222752
0.252,9104.73159644578
