time,v(n0),v(n1),v(n2),v(n3),v(n4),v(n5),v(n6),v(n7),v(n8),v(n9)
0.00000000e+00,3.14318759e-01,3.14318834e-01,3.14318811e-01,3.14318837e-01,3.14318957e-01,3.14318918e-01,3.14318836e-01,3.14318826e-01,3.14318847e-01,3.14318777e-01
1.00000000e-10,3.14318759e-01,3.14318834e-01,3.14318811e-01,3.14318837e-01,3.14318957e-01,3.14318917e-01,3.14318836e-01,3.14318826e-01,3.14318847e-01,3.14318777e-01
2.00000000e-10,3.14318758e-01,3.14318834e-01,3.14318811e-01,3.14318837e-01,3.14318957e-01,3.14318917e-01,3.14318836e-01,3.14318826e-01,3.14318847e-01,3.14318777e-01
4.00000000e-10,3.14318758e-01,3.14318834e-01,3.14318811e-01,3.14318837e-01,3.14318956e-01,3.14318917e-01,3.14318836e-01,3.14318826e-01,3.14318847e-01,3.14318777e-01
8.00000000e-10,3.14318758e-01,3.14318834e-01,3.14318811e-01,3.14318837e-01,3.14318956e-01,3.14318917e-01,3.14318836e-01,3.14318826e-01,3.14318847e-01,3.14318777e-01
1.60000000e-09,3.14318759e-01,3.14318834e-01,3.14318811e-01,3.14318837e-01,3.14318956e-01,3.14318917e-01,3.14318836e-01,3.14318826e-01,3.14318847e-01,3.14318778e-01
3.20000000e-09,3.14318759e-01,3.14318834e-01,3.14318811e-01,3.14318837e-01,3.14318956e-01,3.14318917e-01,3.14318836e-01,3.14318826e-01,3.14318847e-01,3.14318778e-01
6.40000000e-09,3.14318759e-01,3.14318834e-01,3.14318811e-01,3.14318837e-01,3.14318956e-01,3.14318917e-01,3.14318836e-01,3.14318826e-01,3.14318847e-01,3.14318778e-01
1.28000000e-08,3.14318759e-01,3.14318834e-01,3.14318811e-01,3.14318837e-01,3.14318956e-01,3.14318916e-01,3.14318836e-01,3.14318825e-01,3.14318846e-01,3.14318778e-01
2.28000000e-08,3.14318759e-01,3.14318835e-01,3.14318812e-01,3.14318838e-01,3.14318956e-01,3.14318916e-01,3.14318836e-01,3.14318824e-01,3.14318846e-01,3.14318778e-01
3.28000000e-08,3.14318759e-01,3.14318836e-01,3.14318812e-01,3.14318839e-01,3.14318957e-01,3.14318916e-01,3.14318836e-01,3.14318823e-01,3.14318846e-01,3.14318779e-01
4.28000000e-08,3.14318758e-01,3.14318837e-01,3.14318812e-01,3.14318840e-01,3.14318957e-01,3.14318916e-01,3.14318836e-01,3.14318822e-01,3.14318846e-01,3.14318779e-01
5.28000000e-08,3.14318757e-01,3.14318838e-01,3.14318812e-01,3.14318841e-01,3.14318958e-01,3.14318916e-01,3.14318836e-01,3.14318822e-01,3.14318846e-01,3.14318779e-01
6.28000000e-08,3.14318756e-01,3.14318839e-01,3.14318813e-01,3.14318841e-01,3.14318958e-01,3.14318916e-01,3.14318835e-01,3.14318821e-01,3.14318846e-01,3.14318779e-01
7.28000000e-08,3.14318756e-01,3.14318840e-01,3.14318813e-01,3.14318842e-01,3.14318959e-01,3.14318916e-01,3.14318835e-01,3.14318820e-01,3.14318846e-01,3.14318779e-01
8.28000000e-08,3.14318756e-01,3.14318840e-01,3.14318813e-01,3.14318843e-01,3.14318959e-01,3.14318916e-01,3.14318835e-01,3.14318819e-01,3.14318846e-01,3.14318779e-01
9.28000000e-08,3.14318755e-01,3.14318841e-01,3.14318813e-01,3.14318844e-01,3.14318959e-01,3.14318915e-01,3.14318834e-01,3.14318818e-01,3.14318846e-01,3.14318779e-01
1.02800000e-07,3.14318755e-01,3.14318842e-01,3.14318814e-01,3.14318845e-01,3.14318960e-01,3.14318915e-01,3.14318834e-01,3.14318818e-01,3.14318846e-01,3.14318779e-01
1.12800000e-07,3.14318755e-01,3.14318843e-01,3.14318814e-01,3.14318845e-01,3.14318960e-01,3.14318915e-01,3.14318834e-01,3.14318817e-01,3.14318846e-01,3.14318779e-01
1.22800000e-07,3.14318754e-01,3.14318843e-01,3.14318814e-01,3.14318846e-01,3.14318960e-01,3.14318915e-01,3.14318833e-01,3.14318817e-01,3.14318846e-01,3.14318780e-01
1.32800000e-07,3.14318754e-01,3.14318843e-01,3.14318815e-01,3.14318847e-01,3.14318960e-01,3.14318915e-01,3.14318833e-01,3.14318817e-01,3.14318846e-01,3.14318781e-01
1.42800000e-07,3.14318752e-01,3.14318843e-01,3.14318816e-01,3.14318848e-01,3.14318961e-01,3.14318915e-01,3.14318833e-01,3.14318816e-01,3.14318846e-01,3.14318781e-01
1.52800000e-07,3.14318751e-01,3.14318844e-01,3.14318816e-01,3.14318849e-01,3.14318961e-01,3.14318915e-01,3.14318833e-01,3.14318816e-01,3.14318846e-01,3.14318781e-01
1.62800000e-07,3.14318750e-01,3.14318844e-01,3.14318817e-01,3.14318851e-01,3.14318961e-01,3.14318914e-01,3.14318832e-01,3.14318816e-01,3.14318846e-01,3.14318781e-01
1.72800000e-07,3.14318749e-01,3.14318844e-01,3.14318817e-01,3.14318852e-01,3.14318961e-01,3.14318914e-01,3.14318832e-01,3.14318816e-01,3.14318846e-01,3.14318780e-01
1.82800000e-07,3.14318747e-01,3.14318844e-01,3.14318817e-01,3.14318853e-01,3.14318961e-01,3.14318914e-01,3.14318831e-01,3.14318816e-01,3.14318846e-01,3.14318780e-01
1.92800000e-07,3.14318746e-01,3.14318844e-01,3.14318817e-01,3.14318854e-01,3.14318961e-01,3.14318914e-01,3.14318831e-01,3.14318816e-01,3.14318846e-01,3.14318779e-01
2.02800000e-07,3.14318744e-01,3.14318845e-01,3.14318817e-01,3.14318855e-01,3.14318961e-01,3.14318914e-01,3.14318830e-01,3.14318816e-01,3.14318846e-01,3.14318779e-01
2.12800000e-07,3.14318742e-01,3.14318845e-01,3.14318817e-01,3.14318855e-01,3.14318961e-01,3.14318913e-01,3.14318830e-01,3.14318816e-01,3.14318845e-01,3.14318780e-01
2.22800000e-07,3.14318741e-01,3.14318845e-01,3.14318817e-01,3.14318856e-01,3.14318962e-01,3.14318913e-01,3.14318830e-01,3.14318816e-01,3.14318845e-01,3.14318779e-01
2.32800000e-07,3.14318740e-01,3.14318845e-01,3.14318817e-01,3.14318858e-01,3.14318962e-01,3.14318913e-01,3.14318829e-01,3.14318817e-01,3.14318845e-01,3.14318779e-01
2.42800000e-07,3.14318738e-01,3.14318845e-01,3.14318817e-01,3.14318859e-01,3.14318963e-01,3.14318913e-01,3.14318829e-01,3.14318816e-01,3.14318846e-01,3.14318779e-01
2.52800000e-07,3.14318737e-01,3.14318845e-01,3.14318817e-01,3.14318860e-01,3.14318964e-01,3.14318912e-01,3.14318829e-01,3.14318815e-01,3.14318846e-01,3.14318779e-01
