 time            v(n.x4.xr1.n1#ngap) i(v10)         
 0.00000000e+00  2.65130452e+00 -6.09580248e-07 
 1.00000000e-11  2.65130452e+00 -6.09580225e-07 
 2.00000000e-11  2.65130452e+00 -6.09580279e-07 
 4.00000000e-11  2.65130452e+00 -6.09580344e-07 
 8.00000000e-11  2.65130452e+00 -6.09580269e-07 
 1.60000000e-10  2.65130452e+00 -6.09580243e-07 
 3.20000000e-10  2.65130452e+00 -6.09580211e-07 
 6.40000000e-10  2.65130452e+00 -6.09580303e-07 
 1.28000000e-09  2.65130452e+00 -6.09580232e-07 
 2.28000000e-09  2.65130452e+00 -6.09580269e-07 
 3.28000000e-09  2.65130452e+00 -6.09580249e-07 
 4.28000000e-09  2.65130452e+00 -6.09580184e-07 
 5.28000000e-09  2.65130452e+00 -6.09580245e-07 
 6.28000000e-09  2.65130452e+00 -6.09580217e-07 
 7.28000000e-09  2.65130452e+00 -6.09580216e-07 
 8.28000000e-09  2.65130452e+00 -6.09580217e-07 
 9.28000000e-09  2.65130452e+00 -6.09580191e-07 
 1.02800000e-08  2.65130452e+00 -6.09580220e-07 
 1.12800000e-08  2.65130452e+00 -6.09580217e-07 
 1.22800000e-08  2.65130452e+00 -6.09580222e-07 
 1.32800000e-08  2.65130452e+00 -6.09580249e-07 
 1.42800000e-08  2.65130452e+00 -6.09580217e-07 
 1.52800000e-08  2.65130452e+00 -6.09580256e-07 
 1.62800000e-08  2.65130452e+00 -6.09580256e-07 
 1.72800000e-08  2.65130452e+00 -6.09580216e-07 
 1.82800000e-08  2.65130452e+00 -6.09580247e-07 
 1.92800000e-08  2.65130452e+00 -6.09580186e-07 
 2.02800000e-08  2.65130452e+00 -6.09580192e-07 
 2.12800000e-08  2.65130452e+00 -6.09580190e-07 
 2.22800000e-08  2.65130452e+00 -6.09580217e-07 
 2.32800000e-08  2.65130452e+00 -6.09580218e-07 
 2.42800000e-08  2.65130452e+00 -6.09580242e-07 
 2.52800000e-08  2.65130452e+00 -6.09580192e-07 
 2.62800000e-08  2.65130452e+00 -6.09580228e-07 
 2.72800000e-08  2.65130452e+00 -6.09580222e-07 
 2.82800000e-08  2.65130452e+00 -6.09580216e-07 
 2.92800000e-08  2.65130452e+00 -6.09580160e-07 
 3.02800000e-08  2.65130452e+00 -6.09580185e-07 
 3.12800000e-08  2.65130452e+00 -6.09580167e-07 
 3.22800000e-08  2.65130452e+00 -6.09580249e-07 
 3.32800000e-08  2.65130452e+00 -6.09580217e-07 
 3.42800000e-08  2.65130452e+00 -6.09580163e-07 
 3.52800000e-08  2.65130452e+00 -6.09580251e-07 
 3.62800000e-08  2.65130452e+00 -6.09580192e-07 
 3.72800000e-08  2.65130452e+00 -6.09580252e-07 
 3.82800000e-08  2.65130452e+00 -6.09580218e-07 
 3.92800000e-08  2.65130452e+00 -6.09580187e-07 
 4.02800000e-08  2.65130452e+00 -6.09580217e-07 
 4.12800000e-08  2.65130452e+00 -6.09580196e-07 
 4.22800000e-08  2.65130452e+00 -6.09580161e-07 
 4.32800000e-08  2.65130452e+00 -6.09580183e-07 
 4.42800000e-08  2.65130452e+00 -6.09580185e-07 
 4.52800000e-08  2.65130452e+00 -6.09580160e-07 
 4.62800000e-08  2.65130452e+00 -6.09580191e-07 
 4.72800000e-08  2.65130452e+00 -6.09580136e-07 
 4.82800000e-08  2.65130452e+00 -6.09580163e-07 
 4.92800000e-08  2.65130452e+00 -6.09580189e-07 
 5.02800000e-08  2.65130452e+00 -6.09580195e-07 
 5.12800000e-08  2.65130452e+00 -6.09580191e-07 
 5.22800000e-08  2.65130452e+00 -6.09580222e-07 
 5.32800000e-08  2.65130452e+00 -6.09580229e-07 
 5.42800000e-08  2.65130452e+00 -6.09580232e-07 
