 time            v(vout)        
 0.00000000e+00  1.36523271e+00 
 1.00000000e-11  1.36523271e+00 
 2.00000000e-11  1.36523271e+00 
 4.00000000e-11  1.36523271e+00 
 8.00000000e-11  1.36523271e+00 
 1.60000000e-10  1.36523271e+00 
 3.20000000e-10  1.36523271e+00 
 6.40000000e-10  1.36523271e+00 
 1.28000000e-09  1.36523271e+00 
 2.28000000e-09  1.36523271e+00 
 3.28000000e-09  1.36523271e+00 
 4.28000000e-09  1.36523271e+00 
 5.28000000e-09  1.36523271e+00 
 6.28000000e-09  1.36523271e+00 
 7.28000000e-09  1.36523271e+00 
 8.28000000e-09  1.36523271e+00 
 9.28000000e-09  1.36523272e+00 
 1.02800000e-08  1.36523272e+00 
 1.12800000e-08  1.36523272e+00 
 1.22800000e-08  1.36523272e+00 
 1.32800000e-08  1.36523272e+00 
 1.42800000e-08  1.36523272e+00 
 1.52800000e-08  1.36523272e+00 
 1.62800000e-08  1.36523272e+00 
 1.72800000e-08  1.36523273e+00 
 1.82800000e-08  1.36523273e+00 
 1.92800000e-08  1.36523273e+00 
 2.02800000e-08  1.36523274e+00 
 2.12800000e-08  1.36523274e+00 
 2.22800000e-08  1.36523274e+00 
 2.32800000e-08  1.36523275e+00 
 2.42800000e-08  1.36523276e+00 
 2.52800000e-08  1.36523276e+00 
 2.62800000e-08  1.36523277e+00 
 2.72800000e-08  1.36523278e+00 
 2.82800000e-08  1.36523279e+00 
 2.92800000e-08  1.36523281e+00 
 3.02800000e-08  1.36523282e+00 
 3.12800000e-08  1.36523284e+00 
 3.22800000e-08  1.36523286e+00 
 3.32800000e-08  1.36523288e+00 
 3.42800000e-08  1.36523291e+00 
 3.52800000e-08  1.36523294e+00 
 3.62800000e-08  1.36523297e+00 
 3.72800000e-08  1.36523301e+00 
 3.82800000e-08  1.36523306e+00 
 3.92800000e-08  1.36523312e+00 
 4.02800000e-08  1.36523318e+00 
 4.12800000e-08  1.36523325e+00 
 4.22800000e-08  1.36523333e+00 
 4.32800000e-08  1.36523343e+00 
 4.42800000e-08  1.36523354e+00 
 4.52800000e-08  1.36523367e+00 
 4.62800000e-08  1.36523382e+00 
 4.72800000e-08  1.36523398e+00 
 4.82800000e-08  1.36523418e+00 
 4.92800000e-08  1.36523441e+00 
 5.02800000e-08  1.36523467e+00 
 5.12800000e-08  1.36523497e+00 
 5.22800000e-08  1.36523531e+00 
 5.32800000e-08  1.36523571e+00 
 5.42800000e-08  1.36523617e+00 
 5.52800000e-08  1.36523670e+00 
 5.62800000e-08  1.36523731e+00 
 5.72800000e-08  1.36523802e+00 
 5.82800000e-08  1.36523883e+00 
 5.92800000e-08  1.36523976e+00 
 6.02800000e-08  1.36524084e+00 
 6.12800000e-08  1.36524209e+00 
 6.22800000e-08  1.36524352e+00 
 6.32800000e-08  1.36524518e+00 
 6.42800000e-08  1.36524709e+00 
 6.52800000e-08  1.36524928e+00 
 6.62800000e-08  1.36525182e+00 
 6.72800000e-08  1.36525474e+00 
 6.82800000e-08  1.36525811e+00 
 6.92800000e-08  1.36526200e+00 
 7.02800000e-08  1.36526648e+00 
 7.12800000e-08  1.36527165e+00 
 7.22800000e-08  1.36527760e+00 
 7.32800000e-08  1.36528447e+00 
 7.42800000e-08  1.36529238e+00 
 7.52800000e-08  1.36530151e+00 
 7.62800000e-08  1.36531203e+00 
 7.72800000e-08  1.36532416e+00 
 7.82800000e-08  1.36533815e+00 
 7.92800000e-08  1.36535427e+00 
 8.02800000e-08  1.36537286e+00 
 8.12800000e-08  1.36539429e+00 
 8.22800000e-08  1.36541899e+00 
 8.32800000e-08  1.36544748e+00 
 8.42800000e-08  1.36548032e+00 
 8.52800000e-08  1.36551817e+00 
 8.62800000e-08  1.36556182e+00 
 8.72800000e-08  1.36561213e+00 
 8.82800000e-08  1.36567013e+00 
 8.92800000e-08  1.36573699e+00 
 9.02800000e-08  1.36581407e+00 
 9.12800000e-08  1.36590292e+00 
 9.22800000e-08  1.36600535e+00 
 9.32800000e-08  1.36612341e+00 
 9.42800000e-08  1.36625949e+00 
 9.52800000e-08  1.36641635e+00 
 9.62800000e-08  1.36659713e+00 
 9.72800000e-08  1.36680549e+00 
 9.82800000e-08  1.36704561e+00 
 9.92800000e-08  1.36732232e+00 
 1.00280000e-07  1.36764118e+00 
 1.01280000e-07  1.36800856e+00 
 1.02280000e-07  1.36843182e+00 
 1.03280000e-07  1.36891941e+00 
 1.04280000e-07  1.36948101e+00 
 1.05280000e-07  1.37012778e+00 
 1.06280000e-07  1.37087251e+00 
 1.07280000e-07  1.37172985e+00 
 1.08280000e-07  1.37271663e+00 
 1.09280000e-07  1.37385208e+00 
 1.10280000e-07  1.37515821e+00 
 1.11280000e-07  1.37666015e+00 
 1.12280000e-07  1.37838657e+00 
 1.13280000e-07  1.38037009e+00 
 1.14280000e-07  1.38264778e+00 
 1.15280000e-07  1.38526165e+00 
 1.16280000e-07  1.38825915e+00 
 1.17280000e-07  1.39169374e+00 
 1.18280000e-07  1.39562534e+00 
 1.19280000e-07  1.40012082e+00 
 1.20280000e-07  1.40525433e+00 
 1.21280000e-07  1.41110744e+00 
 1.22280000e-07  1.41776903e+00 
 1.23280000e-07  1.42533471e+00 
 1.24280000e-07  1.43390551e+00 
 1.25280000e-07  1.44358558e+00 
 1.26280000e-07  1.45447828e+00 
 1.27280000e-07  1.46667983e+00 
 1.28280000e-07  1.48026918e+00 
 1.29280000e-07  1.49529196e+00 
 1.30280000e-07  1.51173522e+00 
 1.31280000e-07  1.52948858e+00 
 1.32280000e-07  1.54828836e+00 
 1.33280000e-07  1.56765144e+00 
 1.34280000e-07  1.58683757e+00 
 1.35280000e-07  1.60492739e+00 
 1.36280000e-07  1.62107708e+00 
 1.37280000e-07  1.63481184e+00 
 1.38280000e-07  1.64616961e+00 
 1.39280000e-07  1.65556180e+00 
 1.40280000e-07  1.66346893e+00 
 1.41280000e-07  1.67029349e+00 
 1.42280000e-07  1.67633472e+00 
 1.43280000e-07  1.68178527e+00 
 1.44280000e-07  1.68676546e+00 
 1.45280000e-07  1.69135187e+00 
 1.46280000e-07  1.69559553e+00 
 1.47280000e-07  1.69953228e+00 
 1.48280000e-07  1.70318832e+00 
 1.49280000e-07  1.70658340e+00 
 1.50280000e-07  1.70973264e+00 
 1.51280000e-07  1.71264766e+00 
 1.52280000e-07  1.71533736e+00 
 1.53280000e-07  1.71780842e+00 
 1.54280000e-07  1.72006565e+00 
 1.55280000e-07  1.72211221e+00 
 1.56280000e-07  1.72394977e+00 
 1.57280000e-07  1.72557854e+00 
 1.58280000e-07  1.72699731e+00 
 1.59280000e-07  1.72820336e+00 
 1.60280000e-07  1.72919236e+00 
 1.61280000e-07  1.72995824e+00 
 1.62280000e-07  1.73049287e+00 
 1.63280000e-07  1.73078587e+00 
 1.64280000e-07  1.73082411e+00 
 1.65280000e-07  1.73059131e+00 
 1.66280000e-07  1.73006735e+00 
 1.67280000e-07  1.72922751e+00 
 1.68280000e-07  1.72804140e+00 
 1.69280000e-07  1.72647162e+00 
 1.70280000e-07  1.72447192e+00 
 1.71280000e-07  1.72198470e+00 
 1.72280000e-07  1.71893748e+00 
 1.73280000e-07  1.71523778e+00 
 1.74280000e-07  1.71076549e+00 
 1.75280000e-07  1.70536082e+00 
 1.76280000e-07  1.69880479e+00 
 1.77280000e-07  1.69078542e+00 
 1.78280000e-07  1.68083616e+00 
 1.79280000e-07  1.66821594e+00 
 1.80280000e-07  1.65161780e+00 
 1.81280000e-07  1.62869371e+00 
 1.82280000e-07  1.59524423e+00 
 1.83280000e-07  1.54509151e+00 
 1.84280000e-07  1.47223123e+00 
 1.85280000e-07  1.37261445e+00 
 1.86280000e-07  1.24332937e+00 
 1.87280000e-07  1.08138477e+00 
 1.88280000e-07  8.85217321e-01 
 1.89280000e-07  6.85359042e-01 
 1.90280000e-07  5.24189976e-01 
 1.91280000e-07  4.41283995e-01 
 1.92280000e-07  4.10577868e-01 
 1.93280000e-07  4.30266903e-01 
 1.94280000e-07  4.80962616e-01 
 1.95280000e-07  5.39140047e-01 
 1.96280000e-07  5.85233445e-01 
 1.97280000e-07  5.96069757e-01 
 1.98280000e-07  5.84872878e-01 
 1.99280000e-07  5.68763599e-01 
 2.00280000e-07  5.62394119e-01 
 2.01280000e-07  5.75581875e-01 
 2.02280000e-07  5.94592225e-01 
 2.03280000e-07  6.06457740e-01 
 2.04280000e-07  6.10161989e-01 
 2.05280000e-07  6.07888890e-01 
 2.06280000e-07  6.02243538e-01 
 2.07280000e-07  5.94919934e-01 
 2.08280000e-07  5.87059268e-01 
 2.09280000e-07  5.79210401e-01 
 2.10280000e-07  5.71736461e-01 
 2.11280000e-07  5.64744554e-01 
 2.12280000e-07  5.58312089e-01 
 2.13280000e-07  5.52406178e-01 
 2.14280000e-07  5.47011712e-01 
 2.15280000e-07  5.42065565e-01 
 2.16280000e-07  5.37533661e-01 
 2.17280000e-07  5.33358504e-01 
 2.18280000e-07  5.29506269e-01 
 2.19280000e-07  5.25932691e-01 
 2.20280000e-07  5.22609858e-01 
 2.21280000e-07  5.19505578e-01 
 2.22280000e-07  5.16598068e-01 
 2.23280000e-07  5.13864045e-01 
 2.24280000e-07  5.11286496e-01 
 2.25280000e-07  5.08849351e-01 
 2.26280000e-07  5.06538715e-01 
 2.27280000e-07  5.04343407e-01 
 2.28280000e-07  5.02252025e-01 
 2.29280000e-07  5.00256828e-01 
 2.30280000e-07  4.98348266e-01 
 2.31280000e-07  4.96521023e-01 
 2.32280000e-07  4.94766962e-01 
 2.33280000e-07  4.93082484e-01 
 2.34280000e-07  4.91460559e-01 
 2.35280000e-07  4.89898804e-01 
 2.36280000e-07  4.88391083e-01 
 2.37280000e-07  4.86935877e-01 
 2.38280000e-07  4.85527784e-01 
 2.39280000e-07  4.84165901e-01 
 2.40280000e-07  4.82845446e-01 
 2.41280000e-07  4.81565940e-01 
 2.42280000e-07  4.80323142e-01 
 2.43280000e-07  4.79116865e-01 
 2.44280000e-07  4.77943335e-01 
 2.45280000e-07  4.76802566e-01 
 2.46280000e-07  4.75691187e-01 
 2.47280000e-07  4.74609350e-01 
 2.48280000e-07  4.73554036e-01 
 2.49280000e-07  4.72525489e-01 
 2.50280000e-07  4.71520997e-01 
 2.51280000e-07  4.70540862e-01 
 2.52280000e-07  4.69582643e-01 
 2.53280000e-07  4.68646678e-01 
 2.54280000e-07  4.67730760e-01 
 2.55280000e-07  4.66835252e-01 
 2.56280000e-07  4.65958150e-01 
 2.57280000e-07  4.65099830e-01 
 2.58280000e-07  4.64258468e-01 
 2.59280000e-07  4.63434445e-01 
 2.60280000e-07  4.62626096e-01 
 2.61280000e-07  4.61833802e-01 
 2.62280000e-07  4.61056036e-01 
 2.63280000e-07  4.60293177e-01 
 2.64280000e-07  4.59543821e-01 
 2.65280000e-07  4.58808342e-01 
 2.66280000e-07  4.58085444e-01 
 2.67280000e-07  4.57375497e-01 
 2.68280000e-07  4.56677298e-01 
 2.69280000e-07  4.55991214e-01 
 2.70280000e-07  4.55316124e-01 
 2.71280000e-07  4.54652392e-01 
 2.72280000e-07  4.53998967e-01 
 2.73280000e-07  4.53356213e-01 
 2.74280000e-07  4.52723142e-01 
 2.75280000e-07  4.52100115e-01 
 2.76280000e-07  4.51486200e-01 
 2.77280000e-07  4.50881756e-01 
 2.78280000e-07  4.50285901e-01 
 2.79280000e-07  4.49698993e-01 
 2.80280000e-07  4.49120193e-01 
