 time            v(vout)        
 0.00000000e+00  1.61959730e+00 
 1.00000000e-11  1.61959730e+00 
 2.00000000e-11  1.61959729e+00 
 4.00000000e-11  1.61959729e+00 
 8.00000000e-11  1.61959727e+00 
 1.60000000e-10  1.61959724e+00 
 3.20000000e-10  1.61959719e+00 
 6.40000000e-10  1.61959710e+00 
 1.28000000e-09  1.61959697e+00 
 2.28000000e-09  1.61959683e+00 
 3.28000000e-09  1.61959675e+00 
 4.28000000e-09  1.61959670e+00 
 5.28000000e-09  1.61959666e+00 
 6.28000000e-09  1.61959663e+00 
 7.28000000e-09  1.61959660e+00 
 8.28000000e-09  1.61959656e+00 
 9.28000000e-09  1.61959653e+00 
 1.02800000e-08  1.61959648e+00 
 1.12800000e-08  1.61959643e+00 
 1.22800000e-08  1.61959637e+00 
 1.32800000e-08  1.61959630e+00 
 1.42800000e-08  1.61959623e+00 
 1.52800000e-08  1.61959614e+00 
 1.62800000e-08  1.61959604e+00 
 1.72800000e-08  1.61959594e+00 
 1.82800000e-08  1.61959582e+00 
 1.92800000e-08  1.61959569e+00 
 2.02800000e-08  1.61959556e+00 
 2.12800000e-08  1.61959541e+00 
 2.22800000e-08  1.61959526e+00 
 2.32800000e-08  1.61959511e+00 
 2.42800000e-08  1.61959496e+00 
 2.52800000e-08  1.61959481e+00 
 2.62800000e-08  1.61959466e+00 
 2.72800000e-08  1.61959452e+00 
 2.82800000e-08  1.61959440e+00 
 2.92800000e-08  1.61959430e+00 
 3.02800000e-08  1.61959422e+00 
 3.12800000e-08  1.61959417e+00 
 3.22800000e-08  1.61959416e+00 
 3.32800000e-08  1.61959419e+00 
 3.42800000e-08  1.61959428e+00 
 3.52800000e-08  1.61959442e+00 
 3.62800000e-08  1.61959463e+00 
 3.72800000e-08  1.61959491e+00 
 3.82800000e-08  1.61959527e+00 
 3.92800000e-08  1.61959571e+00 
 4.02800000e-08  1.61959624e+00 
 4.12800000e-08  1.61959686e+00 
 4.22800000e-08  1.61959759e+00 
 4.32800000e-08  1.61959840e+00 
 4.42800000e-08  1.61959932e+00 
 4.52800000e-08  1.61960033e+00 
 4.62800000e-08  1.61960142e+00 
 4.72800000e-08  1.61960260e+00 
 4.82800000e-08  1.61960384e+00 
 4.92800000e-08  1.61960513e+00 
 5.02800000e-08  1.61960645e+00 
 5.12800000e-08  1.61960778e+00 
 5.22800000e-08  1.61960909e+00 
 5.32800000e-08  1.61961035e+00 
 5.42800000e-08  1.61961152e+00 
 5.52800000e-08  1.61961256e+00 
 5.62800000e-08  1.61961342e+00 
 5.72800000e-08  1.61961405e+00 
 5.82800000e-08  1.61961440e+00 
 5.92800000e-08  1.61961441e+00 
 6.02800000e-08  1.61961403e+00 
 6.12800000e-08  1.61961318e+00 
 6.22800000e-08  1.61961181e+00 
 6.32800000e-08  1.61960985e+00 
 6.42800000e-08  1.61960724e+00 
 6.52800000e-08  1.61960394e+00 
 6.62800000e-08  1.61959987e+00 
 6.72800000e-08  1.61959501e+00 
 6.82800000e-08  1.61958932e+00 
 6.92800000e-08  1.61958278e+00 
 7.02800000e-08  1.61957537e+00 
 7.12800000e-08  1.61956712e+00 
 7.22800000e-08  1.61955805e+00 
 7.32800000e-08  1.61954822e+00 
 7.42800000e-08  1.61953772e+00 
 7.52800000e-08  1.61952664e+00 
 7.62800000e-08  1.61951515e+00 
 7.72800000e-08  1.61950341e+00 
 7.82800000e-08  1.61949164e+00 
 7.92800000e-08  1.61948011e+00 
 8.02800000e-08  1.61946909e+00 
 8.12800000e-08  1.61945894e+00 
 8.22800000e-08  1.61945002e+00 
 8.32800000e-08  1.61944275e+00 
 8.42800000e-08  1.61943759e+00 
 8.52800000e-08  1.61943501e+00 
 8.62800000e-08  1.61943555e+00 
 8.72800000e-08  1.61943972e+00 
 8.82800000e-08  1.61944808e+00 
 8.92800000e-08  1.61946120e+00 
 9.02800000e-08  1.61947961e+00 
 9.12800000e-08  1.61950383e+00 
 9.22800000e-08  1.61953437e+00 
 9.32800000e-08  1.61957165e+00 
 9.42800000e-08  1.61961604e+00 
 9.52800000e-08  1.61966780e+00 
 9.62800000e-08  1.61972707e+00 
 9.72800000e-08  1.61979387e+00 
 9.82800000e-08  1.61986804e+00 
 9.92800000e-08  1.61994923e+00 
 1.00280000e-07  1.62003686e+00 
 1.01280000e-07  1.62013014e+00 
 1.02280000e-07  1.62022800e+00 
 1.03280000e-07  1.62032907e+00 
 1.04280000e-07  1.62043171e+00 
 1.05280000e-07  1.62053394e+00 
 1.06280000e-07  1.62063344e+00 
 1.07280000e-07  1.62072759e+00 
 1.08280000e-07  1.62081339e+00 
 1.09280000e-07  1.62088753e+00 
 1.10280000e-07  1.62094639e+00 
 1.11280000e-07  1.62098603e+00 
 1.12280000e-07  1.62100224e+00 
 1.13280000e-07  1.62099057e+00 
 1.14280000e-07  1.62094639e+00 
 1.15280000e-07  1.62086491e+00 
 1.16280000e-07  1.62074128e+00 
 1.17280000e-07  1.62057063e+00 
 1.18280000e-07  1.62034819e+00 
 1.19280000e-07  1.62006938e+00 
 1.20280000e-07  1.61972992e+00 
 1.21280000e-07  1.61932595e+00 
 1.22280000e-07  1.61885423e+00 
 1.23280000e-07  1.61831226e+00 
 1.24280000e-07  1.61769852e+00 
 1.25280000e-07  1.61701270e+00 
 1.26280000e-07  1.61625595e+00 
 1.27280000e-07  1.61543118e+00 
 1.28280000e-07  1.61454341e+00 
 1.29280000e-07  1.61360015e+00 
 1.30280000e-07  1.61261181e+00 
 1.31280000e-07  1.61159214e+00 
 1.32280000e-07  1.61055870e+00 
 1.33280000e-07  1.60953331e+00 
 1.34280000e-07  1.60854250e+00 
 1.35280000e-07  1.60761781e+00 
 1.36280000e-07  1.60679604e+00 
 1.37280000e-07  1.60611922e+00 
 1.38280000e-07  1.60563430e+00 
 1.39280000e-07  1.60539237e+00 
 1.40280000e-07  1.60544745e+00 
 1.41280000e-07  1.60585450e+00 
 1.42280000e-07  1.60666680e+00 
 1.43280000e-07  1.60793249e+00 
 1.44280000e-07  1.60969052e+00 
 1.45280000e-07  1.61196611e+00 
 1.46280000e-07  1.61476633e+00 
 1.47280000e-07  1.61807645e+00 
 1.48280000e-07  1.62185803e+00 
 1.49280000e-07  1.62604940e+00 
 1.50280000e-07  1.63056928e+00 
 1.51280000e-07  1.63532284e+00 
 1.52280000e-07  1.64020942e+00 
 1.53280000e-07  1.64512995e+00 
 1.54280000e-07  1.64999268e+00 
 1.55280000e-07  1.65471618e+00 
 1.56280000e-07  1.65922968e+00 
 1.57280000e-07  1.66347150e+00 
 1.58280000e-07  1.66738631e+00 
 1.59280000e-07  1.67092215e+00 
 1.60280000e-07  1.67402746e+00 
 1.61280000e-07  1.67664828e+00 
 1.62280000e-07  1.67872538e+00 
 1.63280000e-07  1.68019106e+00 
 1.64280000e-07  1.68096518e+00 
 1.65280000e-07  1.68094977e+00 
 1.66280000e-07  1.68002128e+00 
 1.67280000e-07  1.67801895e+00 
 1.68280000e-07  1.67472634e+00 
 1.69280000e-07  1.66984061e+00 
 1.70280000e-07  1.66291798e+00 
 1.71280000e-07  1.65324696e+00 
 1.72280000e-07  1.63967299e+00 
 1.73280000e-07  1.62017885e+00 
 1.74280000e-07  1.59115386e+00 
 1.75280000e-07  1.54705260e+00 
 1.76280000e-07  1.48171800e+00 
 1.77280000e-07  1.39032845e+00 
 1.78280000e-07  1.26942401e+00 
 1.79280000e-07  1.11586342e+00 
 1.80280000e-07  9.27081944e-01 
 1.81280000e-07  7.20961886e-01 
 1.82280000e-07  5.41716079e-01 
 1.83280000e-07  4.43140532e-01 
 1.84280000e-07  4.11335078e-01 
 1.85280000e-07  4.28670438e-01 
 1.86280000e-07  4.61196793e-01 
 1.87280000e-07  4.65100642e-01 
 1.88280000e-07  4.77756295e-01 
 1.89280000e-07  5.07195164e-01 
 1.90280000e-07  5.39290729e-01 
 1.91280000e-07  5.66347903e-01 
 1.92280000e-07  5.85738152e-01 
 1.93280000e-07  5.97819100e-01 
 1.94280000e-07  6.03992453e-01 
 1.95280000e-07  6.06427394e-01 
 1.96280000e-07  6.06200362e-01 
 1.97280000e-07  6.03896144e-01 
 1.98280000e-07  5.99728861e-01 
 1.99280000e-07  5.94174430e-01 
 2.00280000e-07  5.87697643e-01 
 2.01280000e-07  5.80860309e-01 
 2.02280000e-07  5.73943455e-01 
 2.03280000e-07  5.67204321e-01 
 2.04280000e-07  5.60764583e-01 
 2.05280000e-07  5.54711702e-01 
 2.06280000e-07  5.49056523e-01 
 2.07280000e-07  5.43807487e-01 
 2.08280000e-07  5.38934872e-01 
 2.09280000e-07  5.34422238e-01 
 2.10280000e-07  5.30231664e-01 
 2.11280000e-07  5.26339077e-01 
 2.12280000e-07  5.22711477e-01 
 2.13280000e-07  5.19325332e-01 
 2.14280000e-07  5.16154853e-01 
 2.15280000e-07  5.13179396e-01 
 2.16280000e-07  5.10379859e-01 
 2.17280000e-07  5.07738843e-01 
 2.18280000e-07  5.05242316e-01 
 2.19280000e-07  5.02875651e-01 
 2.20280000e-07  5.00629322e-01 
 2.21280000e-07  4.98490590e-01 
 2.22280000e-07  4.96453090e-01 
 2.23280000e-07  4.94505765e-01 
 2.24280000e-07  4.92644578e-01 
 2.25280000e-07  4.90859793e-01 
 2.26280000e-07  4.89149097e-01 
 2.27280000e-07  4.87503798e-01 
 2.28280000e-07  4.85922861e-01 
 2.29280000e-07  4.84398435e-01 
 2.30280000e-07  4.82930436e-01 
 2.31280000e-07  4.81511650e-01 
 2.32280000e-07  4.80142806e-01 
 2.33280000e-07  4.78817211e-01 
 2.34280000e-07  4.77536061e-01 
 2.35280000e-07  4.76293181e-01 
 2.36280000e-07  4.75090171e-01 
 2.37280000e-07  4.73921246e-01 
 2.38280000e-07  4.72788315e-01 
 2.39280000e-07  4.71685925e-01 
 2.40280000e-07  4.70616222e-01 
 2.41280000e-07  4.69574036e-01 
 2.42280000e-07  4.68561696e-01 
 2.43280000e-07  4.67574277e-01 
 2.44280000e-07  4.66614250e-01 
 2.45280000e-07  4.65676900e-01 
 2.46280000e-07  4.64764801e-01 
 2.47280000e-07  4.63873438e-01 
 2.48280000e-07  4.63005475e-01 
 2.49280000e-07  4.62156538e-01 
 2.50280000e-07  4.61329371e-01 
 2.51280000e-07  4.60519739e-01 
