 time            v(vout)        
 0.00000000e+00  1.12989922e-01 
 1.00000000e-12  1.12989922e-01 
 2.00000000e-12  1.12989922e-01 
 4.00000000e-12  1.12989922e-01 
 8.00000000e-12  1.12989922e-01 
 1.60000000e-11  1.12989922e-01 
 3.20000000e-11  1.12989922e-01 
 6.40000000e-11  1.12989922e-01 
 1.28000000e-10  1.12989922e-01 
 2.28000000e-10  1.12989922e-01 
 3.28000000e-10  1.12989922e-01 
 4.28000000e-10  1.12989922e-01 
 5.28000000e-10  1.12989922e-01 
 6.28000000e-10  1.12989922e-01 
 7.28000000e-10  1.12989922e-01 
 8.28000000e-10  1.12989922e-01 
 9.28000000e-10  1.12989922e-01 
 1.00000000e-09  1.12989922e-01 
 1.01000000e-09  1.12989915e-01 
 1.03000000e-09  1.12989890e-01 
 1.07000000e-09  1.12989765e-01 
 1.15000000e-09  1.12989260e-01 
 1.25000000e-09  1.12988183e-01 
 1.35000000e-09  1.12986601e-01 
 1.45000000e-09  1.12984665e-01 
 1.55000000e-09  1.12982362e-01 
 1.65000000e-09  1.12979627e-01 
 1.75000000e-09  1.12976390e-01 
 1.85000000e-09  1.12972556e-01 
 1.95000000e-09  1.12968098e-01 
 2.00000000e-09  1.12965643e-01 
 2.01000000e-09  1.12965160e-01 
 2.03000000e-09  1.12964204e-01 
 2.07000000e-09  1.12962482e-01 
 2.15000000e-09  1.12960177e-01 
 2.25000000e-09  1.12961148e-01 
 2.35000000e-09  1.12970817e-01 
 2.45000000e-09  1.12998991e-01 
 2.55000000e-09  1.13054823e-01 
 2.65000000e-09  1.13153892e-01 
 2.75000000e-09  1.13309319e-01 
 2.85000000e-09  1.13515551e-01 
 2.95000000e-09  1.13752868e-01 
 3.05000000e-09  1.13998589e-01 
 3.15000000e-09  1.14238690e-01 
 3.25000000e-09  1.14468487e-01 
 3.35000000e-09  1.14687708e-01 
 3.45000000e-09  1.14898465e-01 
 3.55000000e-09  1.15102978e-01 
 3.65000000e-09  1.15302851e-01 
 3.75000000e-09  1.15499155e-01 
 3.85000000e-09  1.15692580e-01 
 3.95000000e-09  1.15883604e-01 
 4.05000000e-09  1.16072566e-01 
 4.15000000e-09  1.16259726e-01 
 4.25000000e-09  1.16445287e-01 
 4.35000000e-09  1.16629413e-01 
 4.45000000e-09  1.16812245e-01 
 4.55000000e-09  1.16993900e-01 
 4.65000000e-09  1.17174489e-01 
 4.75000000e-09  1.17354108e-01 
 4.85000000e-09  1.17532854e-01 
 4.95000000e-09  1.17710811e-01 
 5.05000000e-09  1.17888070e-01 
 5.15000000e-09  1.18064712e-01 
 5.25000000e-09  1.18240824e-01 
 5.35000000e-09  1.18416486e-01 
 5.45000000e-09  1.18591785e-01 
 5.55000000e-09  1.18766799e-01 
 5.65000000e-09  1.18941616e-01 
 5.75000000e-09  1.19116315e-01 
 5.85000000e-09  1.19290983e-01 
 5.95000000e-09  1.19465699e-01 
 6.05000000e-09  1.19640551e-01 
 6.15000000e-09  1.19815618e-01 
 6.25000000e-09  1.19990987e-01 
 6.35000000e-09  1.20166737e-01 
 6.45000000e-09  1.20342953e-01 
 6.55000000e-09  1.20519714e-01 
 6.65000000e-09  1.20697104e-01 
 6.75000000e-09  1.20875199e-01 
 6.85000000e-09  1.21054083e-01 
 6.95000000e-09  1.21233830e-01 
 7.05000000e-09  1.21414519e-01 
 7.15000000e-09  1.21596224e-01 
 7.25000000e-09  1.21779020e-01 
 7.35000000e-09  1.21962977e-01 
 7.45000000e-09  1.22148169e-01 
 7.55000000e-09  1.22334661e-01 
 7.65000000e-09  1.22522523e-01 
 7.75000000e-09  1.22711817e-01 
 7.85000000e-09  1.22902610e-01 
 7.95000000e-09  1.23094959e-01 
 8.05000000e-09  1.23288926e-01 
 8.15000000e-09  1.23484567e-01 
 8.25000000e-09  1.23681939e-01 
 8.35000000e-09  1.23881094e-01 
 8.45000000e-09  1.24082088e-01 
 8.55000000e-09  1.24284968e-01 
 8.65000000e-09  1.24489788e-01 
 8.75000000e-09  1.24696594e-01 
 8.85000000e-09  1.24905438e-01 
 8.95000000e-09  1.25116365e-01 
 9.05000000e-09  1.25329426e-01 
 9.15000000e-09  1.25544669e-01 
 9.25000000e-09  1.25762145e-01 
 9.35000000e-09  1.25981904e-01 
 9.45000000e-09  1.26204002e-01 
 9.55000000e-09  1.26428491e-01 
